"","rank","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date","record","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record"
"23",23,"Texas Tech","B12","1-0",102.4,93,86.3,4,0.8775,"18-11","9-9",0,95,23,0,"2022-11-07",NA,NA,NA,NA,NA
"24",24,"Virginia Tech","ACC","1-0",107.5,28,90.6,37,0.8774,"20-9","12-8",0,124,24,0,"2022-11-07",NA,NA,NA,NA,NA
"25",25,"Michigan St.","B10","1-0",107.9,23,91,41,0.8771,"18-11","12-8",0,71,25,0,"2022-11-07",NA,NA,NA,NA,NA
"26",26,"Iowa","B10","1-0",109.9,9,92.9,70,0.873,"20-10","12-8",0,99,27,-1,"2022-11-07",NA,NA,NA,NA,NA
"27",27,"Creighton","BE","1-0",105.1,48,88.9,17,0.8722,"20-9","13-7",0,72,28,-1,"2022-11-07",NA,NA,NA,NA,NA
"28",28,"Michigan","B10","1-0",107.7,27,91.4,48,0.8687,"20-10","12-8",0.1,27,29,-1,"2022-11-07",NA,NA,NA,NA,NA
"29",29,"Notre Dame","ACC","0-0",110.6,6,93.9,89,0.868,"22-9","12-8",0,209,30,-1,"2022-11-07",NA,NA,NA,NA,NA
"30",30,"TCU","B12","1-0",106.7,35,90.6,36,0.8679,"19-11","8-10",0,114,31,-1,"2022-11-07",NA,NA,NA,NA,NA
"31",31,"Purdue","B10","0-0",109.4,12,92.9,65,0.8675,"19-10","12-8",0,226,26,5,"2022-11-07",NA,NA,NA,NA,NA
"32",32,"West Virginia","B12","1-0",107.1,32,91.1,45,0.8648,"17-12","8-10",0.1,59,32,0,"2022-11-07",NA,NA,NA,NA,NA
"33",33,"Kansas St.","B12","1-0",107.3,31,91.4,47,0.8643,"17-12","8-10",0,122,33,0,"2022-11-07",NA,NA,NA,NA,NA
"34",34,"Miami FL","ACC","1-0",108.2,20,92.2,57,0.863,"20-10","12-8",0,101,34,0,"2022-11-07",NA,NA,NA,NA,NA
"35",35,"Alabama","SEC","1-0",105,49,89.5,25,0.8625,"17-12","10-8",0.2,18,35,0,"2022-11-07",NA,NA,NA,NA,NA
"36",36,"Dayton","A10","1-0",105.1,47,89.8,29,0.8593,"22-7","13-5",0,125,36,0,"2022-11-07",NA,NA,NA,NA,NA
"37",37,"Oklahoma","B12","0-1",105.1,46,89.9,30,0.858,"15-14","8-10",-0.8,340,37,0,"2022-11-07",NA,NA,NA,NA,NA
"38",38,"Oklahoma St.","B12","1-0",103.9,66,88.9,16,0.8578,"17-13","8-10",0,68,38,0,"2022-11-07",NA,NA,NA,NA,NA
"39",39,"Oregon","P12","1-0",108.5,17,92.9,67,0.8569,"21-9","12-8",0,123,39,0,"2022-11-07",NA,NA,NA,NA,NA
"40",40,"Saint Louis","A10","1-0",108.1,21,92.8,64,0.8524,"22-8","13-5",0.1,46,40,0,"2022-11-07",NA,NA,NA,NA,NA
"41",41,"Stanford","P12","1-0",106.8,33,92,53,0.849,"19-10","12-8",0.1,63,41,0,"2022-11-07",NA,NA,NA,NA,NA
"42",42,"Tulane","Amer","1-0",109.1,13,94.2,97,0.843,"21-7","12-6",0,77,42,0,"2022-11-07",NA,NA,NA,NA,NA
"43",43,"UAB","CUSA","1-0",107.9,25,93.2,74,0.8422,"23-7","15-5",0,111,43,0,"2022-11-07",NA,NA,NA,NA,NA
"44",44,"St. John's","BE","1-0",104.6,57,90.6,35,0.8398,"20-10","11-9",0.1,55,44,0,"2022-11-07",NA,NA,NA,NA,NA
"45",45,"Utah St.","MWC","1-0",103.5,73,89.8,28,0.8372,"21-8","12-6",0.2,14,45,0,"2022-11-07",NA,NA,NA,NA,NA
"46",46,"Iowa St.","B12","1-0",102.2,98,88.7,13,0.8357,"16-13","7-11",0,120,46,0,"2022-11-07",NA,NA,NA,NA,NA
"47",47,"Wyoming","MWC","1-0",107.4,30,93.5,78,0.8313,"20-8","11-7",0,143,47,0,"2022-11-07",NA,NA,NA,NA,NA
"48",48,"Rutgers","B10","1-0",101,127,88,8,0.8292,"20-11","10-10",0,96,48,0,"2022-11-07",NA,NA,NA,NA,NA
"49",49,"Maryland","B10","1-0",106.2,39,92.6,61,0.8289,"18-12","11-9",0,80,49,0,"2022-11-07",NA,NA,NA,NA,NA
"50",50,"Mississippi","SEC","1-0",104.1,63,91.1,43,0.8234,"17-12","9-9",0,103,50,0,"2022-11-07",NA,NA,NA,NA,NA
"51",51,"USC","P12","0-1",103.7,71,90.8,39,0.821,"18-11","11-9",-0.9,347,51,0,"2022-11-07",NA,NA,NA,NA,NA
"52",52,"Missouri","SEC","1-0",109.6,10,96,130,0.82,"19-12","8-10",0.1,57,52,0,"2022-11-07",NA,NA,NA,NA,NA
"53",53,"Cincinnati","Amer","1-0",104.8,52,91.9,52,0.819,"20-9","11-7",0,179,53,0,"2022-11-07",NA,NA,NA,NA,NA
"54",54,"Wisconsin","B10","1-0",102,103,89.6,27,0.8158,"17-12","10-10",0.1,33,54,0,"2022-11-07",NA,NA,NA,NA,NA
"55",55,"Seton Hall","BE","0-0",102.2,99,89.9,31,0.8132,"17-12","11-9",0,221,55,0,"2022-11-07",NA,NA,NA,NA,NA
"56",56,"North Texas","CUSA","1-0",103.8,70,91.5,51,0.8091,"21-7","14-6",0,139,56,0,"2022-11-07",NA,NA,NA,NA,NA
"57",57,"Saint Mary's","WCC","1-0",101,126,89.1,21,0.8083,"19-10","10-6",0.2,15,57,0,"2022-11-07",NA,NA,NA,NA,NA
"58",58,"Arizona St.","P12","1-0",100.8,130,89,19,0.8063,"18-12","10-10",0.1,38,58,0,"2022-11-07",NA,NA,NA,NA,NA
"59",59,"Drake","MVC","0-0",106.3,37,94,91,0.8052,"23-6","16-4",0,229,59,0,"2022-11-07",NA,NA,NA,NA,NA
"60",60,"Connecticut","BE","1-0",104.6,55,92.9,71,0.7963,"17-12","10-10",0,126,60,0,"2022-11-07",NA,NA,NA,NA,NA
"61",61,"Washington St.","P12","1-0",104.5,58,92.9,66,0.7942,"17-12","10-10",0.1,25,61,0,"2022-11-07",NA,NA,NA,NA,NA
"62",62,"Ohio St.","B10","1-0",106.3,38,94.7,101,0.7914,"15-14","9-11",0,88,62,0,"2022-11-07",NA,NA,NA,NA,NA
"63",63,"LSU","SEC","0-0",101.9,106,90.9,40,0.7895,"17-12","7-11",0,204,63,0,"2022-11-07",NA,NA,NA,NA,NA
"64",64,"Clemson","ACC","1-0",104.4,59,93.2,73,0.7861,"17-13","10-10",0,108,64,0,"2022-11-07",NA,NA,NA,NA,NA
"65",65,"Fresno St.","MWC","1-0",103.3,76,92.4,59,0.7838,"19-10","11-7",0,135,65,0,"2022-11-07",NA,NA,NA,NA,NA
"66",66,"Boise St.","MWC","0-0",102.8,85,92.1,56,0.7793,"18-10","10-7",0,234,66,0,"2022-11-07",NA,NA,NA,NA,NA
"67",67,"Providence","BE","0-0",103.3,77,92.7,63,0.7761,"17-13","10-10",0,205,75,-8,"2022-11-07",NA,NA,NA,NA,NA
"68",68,"North Carolina St.","ACC","1-0",105.7,43,95.2,111,0.7686,"16-13","9-11",0,70,67,1,"2022-11-07",NA,NA,NA,NA,NA
"69",69,"Loyola Chicago","A10","1-0",102,104,92,55,0.7661,"19-9","11-7",0,119,68,1,"2022-11-07",NA,NA,NA,NA,NA
"70",70,"VCU","A10","1-0",97.8,202,88.3,10,0.7644,"20-10","11-7",0,87,69,1,"2022-11-07",NA,NA,NA,NA,NA
"71",71,"Liberty","ASun","1-0",103.3,78,93.4,76,0.7625,"24-6","15-3",0,147,70,1,"2022-11-07",NA,NA,NA,NA,NA
"72",72,"Colorado","P12","1-0",100.2,143,90.6,38,0.7609,"17-12","10-10",0.1,40,71,1,"2022-11-07",NA,NA,NA,NA,NA
"73",73,"Marquette","BE","1-0",102.3,95,92.6,62,0.7584,"16-14","9-11",0,89,72,1,"2022-11-07",NA,NA,NA,NA,NA
"74",74,"Furman","SC","1-0",105.9,42,95.9,127,0.756,"23-6","14-4",0,183,73,1,"2022-11-07",NA,NA,NA,NA,NA
"75",75,"Mississippi St.","SEC","1-0",100.6,136,91.2,46,0.7555,"16-14","7-11",0.1,41,74,1,"2022-11-07",NA,NA,NA,NA,NA
"76",76,"Penn St.","B10","1-0",102.9,84,93.4,77,0.7524,"15-14","8-12",0,74,76,0,"2022-11-07",NA,NA,NA,NA,NA
"77",77,"UC Santa Barbara","BW","1-0",104.9,50,95.5,119,0.7467,"25-7","16-4",0,128,77,0,"2022-11-07",NA,NA,NA,NA,NA
"78",78,"Syracuse","ACC","1-0",106.7,36,97.2,146,0.745,"16-14","8-12",0,86,78,0,"2022-11-07",NA,NA,NA,NA,NA
"79",79,"Toledo","MAC","1-0",104.3,60,95.2,112,0.7413,"22-6","15-3",0.1,42,79,0,"2022-11-07",NA,NA,NA,NA,NA
"80",80,"Wake Forest","ACC","1-0",103.8,68,94.9,107,0.7358,"15-15","8-12",0.1,30,80,0,"2022-11-07",NA,NA,NA,NA,NA
"81",81,"Boston College","ACC","1-0",102.2,96,93.5,81,0.7351,"15-14","8-12",0.1,44,81,0,"2022-11-07",NA,NA,NA,NA,NA
"82",82,"Temple","Amer","0-1",101.7,109,93.1,72,0.7338,"16-14","9-9",-0.9,355,82,0,"2022-11-07",NA,NA,NA,NA,NA
"83",83,"Washington","P12","1-0",101.1,124,92.6,60,0.7328,"16-14","9-11",0.1,65,83,0,"2022-11-07",NA,NA,NA,NA,NA
"84",84,"Vanderbilt","SEC","0-1",102.3,94,94,90,0.727,"14-16","6-12",-0.6,310,84,0,"2022-11-07",NA,NA,NA,NA,NA
"85",85,"New Mexico","MWC","1-0",105.6,44,97.1,144,0.7255,"20-11","10-8",0.1,37,85,0,"2022-11-07",NA,NA,NA,NA,NA
"86",86,"Florida Atlantic","CUSA","1-0",103.2,80,95.1,109,0.7194,"20-11","12-8",0,131,86,0,"2022-11-07",NA,NA,NA,NA,NA
"87",87,"Northwestern","B10","1-0",99.2,167,91.5,50,0.7174,"15-15","7-13",0,110,87,0,"2022-11-07",NA,NA,NA,NA,NA
"88",88,"BYU","WCC","1-0",101.1,122,93.3,75,0.717,"18-11","9-7",0,81,88,0,"2022-11-07",NA,NA,NA,NA,NA
"89",89,"Vermont","AE","1-0",104,65,96,128,0.7153,"21-8","14-2",0.1,61,89,0,"2022-11-07",NA,NA,NA,NA,NA
"90",90,"Southern Illinois","MVC","1-0",101.6,113,93.9,87,0.713,"21-9","14-6",0,90,90,0,"2022-11-07",NA,NA,NA,NA,NA
"91",91,"DePaul","BE","1-0",103.1,81,95.3,114,0.7122,"14-16","8-12",0.1,54,91,0,"2022-11-07",NA,NA,NA,NA,NA
"92",92,"San Francisco","WCC","1-0",101.7,111,94,92,0.7109,"18-11","8-8",0,75,92,0,"2022-11-07",NA,NA,NA,NA,NA
"93",93,"Towson","CAA","1-0",104.6,56,97,142,0.7041,"23-8","14-4",0,94,93,0,"2022-11-07",NA,NA,NA,NA,NA
"94",94,"Nebraska","B10","1-0",103.1,82,95.6,121,0.7036,"12-17","7-13",0,102,94,0,"2022-11-07",NA,NA,NA,NA,NA
"95",95,"Louisiana Tech","CUSA","1-0",100.2,148,92.9,68,0.7032,"19-12","12-8",0,195,95,0,"2022-11-07",NA,NA,NA,NA,NA
"96",96,"Bradley","MVC","1-0",100.9,129,93.8,84,0.6997,"21-9","14-6",0,180,96,0,"2022-11-07",NA,NA,NA,NA,NA
"97",97,"Georgia Tech","ACC","1-0",99,177,92,54,0.6996,"15-15","8-12",0,136,97,0,"2022-11-07",NA,NA,NA,NA,NA
"98",98,"Florida St.","ACC","0-1",102.7,86,95.5,117,0.6993,"12-17","7-13",-0.9,354,98,0,"2022-11-07",NA,NA,NA,NA,NA
"99",99,"Butler","BE","1-0",100.6,134,93.6,82,0.6969,"14-15","8-12",0,106,99,0,"2022-11-07",NA,NA,NA,NA,NA
"100",100,"Middle Tennessee","CUSA","1-0",101.7,108,94.7,104,0.6942,"20-11","12-8",0,162,100,0,"2022-11-07",NA,NA,NA,NA,NA
"101",101,"UNLV","MWC","1-0",100.7,133,93.8,86,0.6934,"16-12","8-9",0.1,43,101,0,"2022-11-07",NA,NA,NA,NA,NA
"102",102,"Louisville","ACC","0-0",100.5,139,93.7,83,0.6927,"13-16","7-13",0,206,102,0,"2022-11-07",NA,NA,NA,NA,NA
"103",103,"Utah Valley","WAC","0-1",101.9,105,95,108,0.6912,"19-11","12-6",-0.4,275,103,0,"2022-11-07",NA,NA,NA,NA,NA
"104",104,"Portland","WCC","1-0",104.9,51,97.8,157,0.6909,"18-11","8-8",0,177,104,0,"2022-11-07",NA,NA,NA,NA,NA
"105",105,"South Carolina","SEC","0-0",98.7,184,92.2,58,0.6871,"13-16","6-12",0,217,114,-9,"2022-11-07",NA,NA,NA,NA,NA
"106",106,"Iona","MAAC","1-0",101.3,117,94.7,103,0.6854,"21-8","16-4",0.1,29,105,1,"2022-11-07",NA,NA,NA,NA,NA
"107",107,"Colorado St.","MWC","1-0",101.8,107,95.4,116,0.6766,"16-13","8-10",0.1,49,106,1,"2022-11-07",NA,NA,NA,NA,NA
"108",108,"UNC Greensboro","SC","1-0",100.2,146,94.1,94,0.6727,"22-9","13-5",0,194,107,1,"2022-11-07",NA,NA,NA,NA,NA
"109",109,"Oral Roberts","Sum","0-1",107.9,24,101.4,231,0.6712,"22-8","14-4",-0.4,282,108,1,"2022-11-07",NA,NA,NA,NA,NA
"110",110,"Abilene Christian","WAC","1-0",99.4,161,93.5,79,0.6704,"21-10","11-7",0,92,109,1,"2022-11-07",NA,NA,NA,NA,NA
"111",111,"George Mason","A10","0-1",101.2,120,95.4,115,0.663,"16-13","10-8",-0.2,248,110,1,"2022-11-07",NA,NA,NA,NA,NA
"112",112,"Wichita St.","Amer","1-0",99.8,152,94.2,95,0.6596,"15-14","8-10",0,98,111,1,"2022-11-07",NA,NA,NA,NA,NA
"113",113,"Richmond","A10","1-0",100.2,144,94.7,102,0.659,"17-13","9-9",0,116,112,1,"2022-11-07",NA,NA,NA,NA,NA
"114",114,"Grand Canyon","WAC","1-0",102,102,96.4,134,0.6581,"20-10","11-7",0.1,21,113,1,"2022-11-07",NA,NA,NA,NA,NA
"115",115,"Kent St.","MAC","1-0",101.3,116,95.8,125,0.656,"21-9","13-5",0.3,10,115,0,"2022-11-07",NA,NA,NA,NA,NA
"116",116,"Pittsburgh","ACC","1-0",101.1,123,95.7,122,0.6536,"13-17","7-13",0,84,116,0,"2022-11-07",NA,NA,NA,NA,NA
"117",117,"Colgate","Pat","0-1",102.5,92,97,143,0.6532,"22-9","15-3",-0.8,341,117,0,"2022-11-07",NA,NA,NA,NA,NA
"118",118,"Davidson","A10","1-0",103,83,97.5,151,0.6514,"16-12","9-9",0,138,118,0,"2022-11-07",NA,NA,NA,NA,NA
"119",119,"Sam Houston St.","WAC","1-0",96.6,233,91.4,49,0.6514,"20-10","12-6",0.7,1,119,0,"2022-11-07",NA,NA,NA,NA,NA
"120",120,"Utah","P12","1-0",100.3,142,95.2,110,0.6464,"14-16","7-13",0,118,120,0,"2022-11-07",NA,NA,NA,NA,NA
"121",121,"UCF","Amer","0-1",101.2,121,96.1,131,0.6438,"13-16","8-10",-0.9,349,121,0,"2022-11-07",NA,NA,NA,NA,NA
"122",122,"Western Kentucky","CUSA","0-0",102.7,88,97.6,152,0.6423,"17-12","11-9",0,233,122,0,"2022-11-07",NA,NA,NA,NA,NA
"123",123,"Longwood","BSth","0-1",102.6,90,97.6,153,0.64,"23-8","14-4",-0.3,266,123,0,"2022-11-07",NA,NA,NA,NA,NA
"124",124,"Samford","SC","1-0",105.4,45,100.3,207,0.6399,"22-9","12-6",0,152,124,0,"2022-11-07",NA,NA,NA,NA,NA
"125",125,"South Dakota St.","Sum","0-1",104.3,61,99.3,191,0.6387,"21-10","14-4",-0.6,322,125,0,"2022-11-07",NA,NA,NA,NA,NA
"126",126,"Georgia","SEC","1-0",103.4,75,98.5,173,0.6373,"13-17","5-13",0,85,126,0,"2022-11-07",NA,NA,NA,NA,NA
"127",127,"Santa Clara","WCC","1-0",100.5,138,95.8,124,0.6347,"17-13","7-9",0.1,58,127,0,"2022-11-07",NA,NA,NA,NA,NA
"128",128,"Seattle","WAC","1-0",99.1,172,94.9,106,0.6207,"19-10","11-7",0.2,20,128,0,"2022-11-07",NA,NA,NA,NA,NA
"129",129,"Montana St.","BSky","0-1",102.6,89,98.3,170,0.6207,"20-10","14-4",-0.6,317,129,0,"2022-11-07",NA,NA,NA,NA,NA
"130",130,"Jacksonville","ASun","0-1",101,125,96.8,140,0.6181,"19-10","12-6",-0.2,237,132,-2,"2022-11-07",NA,NA,NA,NA,NA
"131",131,"South Florida","Amer","0-1",97.9,200,93.9,88,0.6181,"15-15","8-10",-1,357,130,1,"2022-11-07",NA,NA,NA,NA,NA
"132",132,"Akron","MAC","1-0",101.7,110,97.5,150,0.618,"20-9","12-6",0.2,19,131,1,"2022-11-07",NA,NA,NA,NA,NA
"133",133,"Louisiana Lafayette","SB","1-0",102.1,100,98.1,165,0.6141,"19-10","12-6",0,167,133,0,"2022-11-07",NA,NA,NA,NA,NA
"134",134,"UTEP","CUSA","0-1",97.7,206,94,93,0.6084,"17-13","10-10",-0.2,241,134,0,"2022-11-07",NA,NA,NA,NA,NA
"135",135,"UC Irvine","BW","1-0",97.2,218,93.5,80,0.6081,"19-12","13-7",0,129,135,0,"2022-11-07",NA,NA,NA,NA,NA
"136",136,"New Mexico St.","WAC","1-0",99.6,157,95.9,126,0.6081,"16-14","10-8",0,174,136,0,"2022-11-07",NA,NA,NA,NA,NA
"137",137,"Stephen F. Austin","WAC","1-0",98.2,194,94.5,99,0.6069,"19-12","11-7",0,191,137,0,"2022-11-07",NA,NA,NA,NA,NA
"138",138,"College of Charleston","CAA","1-0",102.7,87,99,181,0.6059,"20-9","13-5",0.1,24,138,0,"2022-11-07",NA,NA,NA,NA,NA
"139",139,"Norfolk St.","MEAC","1-0",99.5,160,96.1,132,0.5966,"22-8","12-2",0,141,139,0,"2022-11-07",NA,NA,NA,NA,NA
"140",140,"Chattanooga","SC","0-1",99.9,150,96.6,136,0.5964,"20-11","12-6",-0.6,323,140,0,"2022-11-07",NA,NA,NA,NA,NA
"141",141,"Indiana St.","MVC","1-0",98.7,185,95.8,123,0.5863,"19-10","12-8",0,117,141,0,"2022-11-07",NA,NA,NA,NA,NA
"142",142,"Rhode Island","A10","0-1",97,222,94.2,96,0.5827,"15-14","8-10",-0.9,348,142,0,"2022-11-07",NA,NA,NA,NA,NA
"143",143,"Texas St.","SB","0-1",99,179,96.7,138,0.5676,"19-11","11-7",-0.4,285,143,0,"2022-11-07",NA,NA,NA,NA,NA
"144",144,"SMU","Amer","1-0",97.7,210,95.5,118,0.5647,"12-17","6-12",0,105,144,0,"2022-11-07",NA,NA,NA,NA,NA
"145",145,"Long Beach St.","BW","1-0",101.4,114,99.2,188,0.5626,"19-11","12-8",0.2,11,145,0,"2022-11-07",NA,NA,NA,NA,NA
"146",146,"Ohio","MAC","0-1",100.7,132,98.6,175,0.56,"19-12","12-6",-0.8,334,146,0,"2022-11-07",NA,NA,NA,NA,NA
"147",147,"Loyola Marymount","WCC","1-0",103.4,74,101.3,229,0.5594,"14-14","6-9",0,163,147,0,"2022-11-07",NA,NA,NA,NA,NA
"148",148,"Fordham","A10","1-0",94.9,266,92.9,69,0.5593,"18-13","8-10",0,76,148,0,"2022-11-07",NA,NA,NA,NA,NA
"149",149,"Fort Wayne","Horz","0-1",99.8,153,97.9,158,0.5548,"21-9","14-6",-0.3,261,149,0,"2022-11-07",NA,NA,NA,NA,NA
"150",150,"Nicholls St.","Slnd","0-1",99.6,158,97.7,155,0.5544,"19-9","15-3",-0.2,244,150,0,"2022-11-07",NA,NA,NA,NA,NA
"151",151,"Hawaii","BW","0-0",98.7,186,96.9,141,0.552,"19-10","12-8",0,218,151,0,"2022-11-07",NA,NA,NA,NA,NA
"152",152,"Penn","Ivy","0-1",101,128,99.2,187,0.5504,"17-12","9-5",-0.6,312,152,0,"2022-11-07",NA,NA,NA,NA,NA
"153",153,"San Diego","WCC","1-0",98.4,191,96.8,139,0.5487,"14-14","6-9",0,133,153,0,"2022-11-07",NA,NA,NA,NA,NA
"154",154,"California","P12","0-1",96.8,227,95.2,113,0.5476,"11-19","6-14",-0.9,352,155,-1,"2022-11-07",NA,NA,NA,NA,NA
"155",155,"Fairfield","MAAC","0-1",99.7,154,98.3,169,0.543,"20-11","13-7",-0.5,297,156,-1,"2022-11-07",NA,NA,NA,NA,NA
"156",156,"James Madison","SB","1-0",102.6,91,101.2,227,0.5378,"17-12","10-8",0,171,157,-1,"2022-11-07",NA,NA,NA,NA,NA
"157",157,"Yale","Ivy","1-0",95.4,258,94.3,98,0.5331,"16-11","9-5",0,142,158,-1,"2022-11-07",NA,NA,NA,NA,NA
"158",158,"La Salle","A10","0-1",100.1,149,99,182,0.532,"14-16","8-10",-0.2,251,159,-1,"2022-11-07",NA,NA,NA,NA,NA
"159",159,"South Alabama","SB","0-0",98.2,193,97.1,145,0.5316,"18-13","11-7",0,219,160,-1,"2022-11-07",NA,NA,NA,NA,NA
"160",160,"George Washington","A10","1-0",99,180,97.9,160,0.5313,"15-14","7-11",0,190,161,-1,"2022-11-07",NA,NA,NA,NA,NA
"161",161,"Massachusetts","A10","1-0",103.9,67,102.9,264,0.5284,"13-15","7-11",0,107,162,-1,"2022-11-07",NA,NA,NA,NA,NA
"162",162,"Old Dominion","SB","1-0",98.8,181,98,163,0.5239,"17-11","10-8",0,93,163,-1,"2022-11-07",NA,NA,NA,NA,NA
"163",163,"Minnesota","B10","1-0",98.8,183,98,162,0.5233,"11-19","4-16",0.1,45,164,-1,"2022-11-07",NA,NA,NA,NA,NA
"164",164,"Harvard","Ivy","1-0",95.5,257,94.8,105,0.5193,"16-11","9-5",0,127,166,-2,"2022-11-07",NA,NA,NA,NA,NA
"165",165,"Nevada","MWC","1-0",100.6,135,99.9,201,0.5191,"12-17","6-12",0.1,48,167,-2,"2022-11-07",NA,NA,NA,NA,NA
"166",166,"Bryant","AE","1-0",103.8,69,103.3,274,0.5146,"20-11","11-5",0,184,168,-2,"2022-11-07",NA,NA,NA,NA,NA
"167",167,"Charlotte","CUSA","1-0",102.2,97,102,243,0.5076,"14-15","8-12",0,97,169,-2,"2022-11-07",NA,NA,NA,NA,NA
"168",168,"Pepperdine","WCC","1-0",97.8,203,97.6,154,0.5061,"14-15","6-10",0.1,64,170,-2,"2022-11-07",NA,NA,NA,NA,NA
"169",169,"Northern Kentucky","Horz","0-1",99.1,169,98.9,179,0.5052,"18-11","14-6",-0.8,339,171,-2,"2022-11-07",NA,NA,NA,NA,NA
"170",170,"South Dakota","Sum","0-1",104.2,62,104.1,284,0.5049,"18-11","12-6",-0.4,281,172,-2,"2022-11-07",NA,NA,NA,NA,NA
"171",171,"Tulsa","Amer","0-1",97.4,214,97.4,148,0.5026,"10-17","6-12",-0.9,344,173,-2,"2022-11-07",NA,NA,NA,NA,NA
"172",172,"Saint Joseph's","A10","0-0",96.4,236,96.4,133,0.501,"12-16","7-11",0,220,174,-2,"2022-11-07",NA,NA,NA,NA,NA
"173",173,"Florida Gulf Coast","ASun","1-0",101.4,115,101.5,232,0.499,"17-12","11-7",0.6,2,175,-2,"2022-11-07",NA,NA,NA,NA,NA
"174",174,"Montana","BSky","0-0",99.3,164,99.4,193,0.4974,"19-11","12-6",0,200,206,-32,"2022-11-07",NA,NA,NA,NA,NA
"175",175,"Georgetown","BE","0-0",100.8,131,100.9,218,0.4955,"10-20","4-16",0,225,176,-1,"2022-11-07",NA,NA,NA,NA,NA
"176",176,"Marshall","SB","0-1",100.5,140,100.6,210,0.4953,"18-13","10-8",-0.8,338,177,-1,"2022-11-07",NA,NA,NA,NA,NA
"177",177,"Southern Utah","WAC","0-1",102.1,101,102.3,255,0.4943,"15-14","8-10",-0.5,300,178,-1,"2022-11-07",NA,NA,NA,NA,NA
"178",178,"Tarleton St.","WAC","0-1",94.4,278,94.6,100,0.4934,"15-14","9-9",-0.4,283,179,-1,"2022-11-07",NA,NA,NA,NA,NA
