player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Gianluca Scamacca,ata,F,79.0,233140,fc,2026
Giorgio Scalvini,ata,D,77.0,309812,fc,2026
Honest Ahanor,ata,D,66.0,388605,fc,2026
Isak Hien,ata,D,78.0,312862,fc,2026
Kamaldeen Sulemana,ata,F,71.0,303115,fc,2026
Lazar Samardzic,ata,M,75.0,303296,fc,2026
Marco Carnesecchi,ata,G,84.0,284804,fc,2026
Marco Sportiello,ata,G,76.0,174915,fc,2026
Mario Pasalic,ata,M,80.0,189668,fc,2026
Marten de Roon,ata,M,81.0,146335,fc,2026
Mitchel Bakker,ata,D,75.0,267573,fc,2026
Nicola Zalewski,ata,M,76.0,288488,fc,2026
Nikola Krstovic,ata,F,75.0,258158,fc,2026
Odilon Kossounou,ata,D,80.0,284822,fc,2026
Raoul Bellanova,ata,D,78.0,268452,fc,2026
Sead Kolasinac,ata,D,79.0,170553,fc,2026
Yunus Musah,ata,M,74.0,307527,fc,2026
Éderson,ata,M,82.0,278210,fc,2026
Adama Boiro,ath,D,80.3,379707,fc,2026
Adrián Pérez,ath,F,64.7,411759,fc,2026
Aimar Duñabeitia,ath,D,79.6,388802,fc,2026
Aitor Paredes,ath,D,81.6,308254,fc,2026
Alejandro Rego,ath,M,71.5,403371,fc,2026
Ander Izagirre,ath,D,79.0,401735,fc,2026
Andoni Gorosabel,ath,D,83.5,245839,fc,2026
Asier Hierro,ath,F,64.0,414464,fc,2026
Aymeric Laporte,ath,D,85.5,159317,fc,2026
Beñat Prados,ath,M,73.4,318785,fc,2026
Dani Vivian,ath,D,82.9,274016,fc,2026
Eder García,ath,M,69.5,415364,fc,2026
Elijah Gift Izobodo John,ath,F,63.4,418212,fc,2026
Endika Bujan,ath,F,66.0,374635,fc,2026
Gorka Guruzeta,ath,F,68.6,231905,fc,2026
Ibon Sánchez,ath,M,79.9,411758,fc,2026
Iker Monreal,ath,D,77.7,411235,fc,2026
Iñaki Williams,ath,F,69.2,214412,fc,2026
Iñigo Lekue,ath,D,84.2,222369,fc,2026
Iñigo Ruiz de Galarreta,ath,M,76.0,157708,fc,2026
Jesús Areso,ath,D,82.2,300876,fc,2026
Jon De Luis,ath,D,78.3,408483,fc,2026
Maroan Sannadi,ath,F,65.3,393762,fc,2026
Mikel Jauregizar,ath,M,72.1,377792,fc,2026
Mikel Santos,ath,G,80.3,287410,fc,2026
Mikel Vesga,ath,M,75.4,222373,fc,2026
Nico Serrano,ath,F,67.3,323971,fc,2026
Nico Williams,ath,F,86.0,312146,fc,2026
Oihan Sancet,ath,M,74.1,291616,fc,2026
Robert Navarro,ath,M,72.5,276996,fc,2026
Selton Sánchez,ath,M,70.2,414350,fc,2026
Unai Egiluz,ath,D,80.9,368331,fc,2026
Unai Gómez,ath,M,72.8,362376,fc,2026
Unai Simón,ath,G,88.6,222375,fc,2026
Urko Izeta,ath,F,66.6,354205,fc,2026
Yeray,ath,D,84.8,217225,fc,2026
Yuri Berchiche,ath,D,86.1,133768,fc,2026
Álex Berenguer,ath,F,69.9,209579,fc,2026
Álex Padilla,ath,G,87.3,347411,fc,2026
Adrian Gill,atl,M,74.7,371431,fc,2026
Adyn Torres,atl,M,74.1,380821,fc,2026
Alexey Miranchuk,atl,M,79.3,185897,fc,2026
Cayman Togashi,atl,F,70.5,235093,fc,2026
Cooper Sanchez,atl,M,73.4,402315,fc,2026
Dominik Chong Qui,atl,D,81.6,400742,fc,2026
Elías Baez,atl,D,82.2,361498,fc,2026
Emmanuel Latte Lath,atl,F,69.9,242439,fc,2026
Enea Mihaj,atl,D,84.8,243195,fc,2026
Fafà Picault,atl,F,72.5,211678,fc,2026
Jay Fortune,atl,M,76.0,304153,fc,2026
Jayden Hibbert,atl,G,87.9,385044,fc,2026
Juan Berrocal,atl,D,84.2,262061,fc,2026
Lucas Hoyos,atl,G,88.6,109193,fc,2026
Luke Brennan,atl,M,75.4,308892,fc,2026
Matt Edwards,atl,D,86.8,138636,fc,2026
Matías Galarza,atl,M,76.7,297328,fc,2026
Miguel Almirón,atl,F,73.1,48128,fc,2026
Pedro Amador,atl,D,83.5,303125,fc,2026
Ronald Hernández,atl,D,85.5,240783,fc,2026
Saba Lobjanidze,atl,F,71.2,221128,fc,2026
Santiago Pita,atl,M,72.8,416552,fc,2026
Sergio Santos,atl,F,71.8,214446,fc,2026
Steven Alzate,atl,M,78.6,243384,fc,2026
Stian Gregersen,atl,D,86.1,188454,fc,2026
Tomás Jacob,atl,D,82.9,330082,fc,2026
Toto Majub,atl,D,80.9,419246,fc,2026
Tristan Muyumba,atl,M,78.0,255802,fc,2026
Will Reilly,atl,M,77.3,290024,fc,2026
Ademola Lookman,atm,M,65.6,229645,fc,2026
Aleksa Puric,atm,D,78.3,386898,fc,2026
Alexander Sørloth,atm,F,67.3,188230,fc,2026
Antoine Griezmann,atm,F,67.9,140416,fc,2026
Clément Lenglet,atm,D,83.5,193917,fc,2026
Daniel Martinez,atm,D,74.4,368593,fc,2026
Dávid Hancko,atm,D,82.2,257786,fc,2026
Gerónimo Spina,atm,D,77.7,388083,fc,2026
Giuliano Simeone,atm,F,65.3,323838,fc,2026
Iker Luque,atm,F,64.0,417258,fc,2026
Ilias Kostis,atm,D,80.3,355900,fc,2026
Jan Oblak,atm,G,88.0,149622,fc,2026
Jano Monserrate,atm,M,69.5,388080,fc,2026
Javier Boñar,atm,D,79.0,373877,fc,2026
Javier Morcillo,atm,M,68.2,421310,fc,2026
Javier Serrano,atm,M,71.5,323840,fc,2026
Johnny Cardoso,atm,M,73.4,290802,fc,2026
José María Giménez,atm,D,84.2,188398,fc,2026
Juan Musso,atm,G,87.9,177927,fc,2026
Julio Díaz,atm,M,80.9,387493,fc,2026
Julián Álvarez,atm,F,87.0,277206,fc,2026
Koke,atm,M,75.4,140791,fc,2026
Marc Pubill,atm,D,80.9,332613,fc,2026
Marcos Llorente,atm,M,74.7,206474,fc,2026
Mario de Luis,atm,G,86.6,304001,fc,2026
Matteo Ruggeri,atm,D,81.6,297229,fc,2026
Miguel Cubo,atm,F,62.7,421996,fc,2026
Nahuel Molina,atm,D,84.8,164826,fc,2026
Nico González,atm,F,68.6,76017,fc,2026
Obed Vargas,atm,M,72.1,318554,fc,2026
Pablo Barrios,atm,M,70.8,336634,fc,2026
Rayane Belaid,atm,F,64.7,377843,fc,2026
Robin Le Normand,atm,D,82.9,214888,fc,2026
Rodrigo Mendoza,atm,M,76.0,74630,fc,2026
Salvi Esquivel,atm,G,86.0,405502,fc,2026
Sergio Esteban,atm,F,63.4,417403,fc,2026
Taufik Seidu,atm,M,68.9,388081,fc,2026
Thiago Almada,atm,M,74.1,277208,fc,2026
Álex Baena,atm,M,72.8,297373,fc,2026
Álvaro Moreno,atm,G,87.3,222956,fc,2026
Besard Sabovic,atx,M,79.3,225834,fc,2026
Brad Stuver,atx,G,88.6,183780,fc,2026
Brandon Vázquez,atx,F,73.8,228620,fc,2026
Brendan Hines-Ike,atx,D,84.8,238438,fc,2026
CJ Fodrey,atx,M,76.7,318486,fc,2026
Christian Ramírez,atx,F,73.1,235061,fc,2026
Damian Las,atx,G,87.9,297379,fc,2026
Dani Pereira,atx,M,77.3,316077,fc,2026
Ervin Torres,atx,M,74.1,381219,fc,2026
Facundo Torres,atx,F,74.4,67518,fc,2026
Guilherme Biro,atx,D,82.9,304696,fc,2026
Ilie Sánchez,atx,M,79.9,150185,fc,2026
Jayden Nelson,atx,F,71.2,280612,fc,2026
Jon Bell,atx,D,84.2,257193,fc,2026
Jon Gallagher,atx,D,85.5,231047,fc,2026
Jorge Alastuey,atx,M,75.4,374611,fc,2026
Joseph Rosales,atx,M,78.6,286669,fc,2026
Mateja Djordjevic,atx,D,81.6,322966,fc,2026
Micah Burton,atx,M,76.0,365828,fc,2026
Mikkel Desler,atx,D,86.1,213250,fc,2026
Myrto Uzuni,atx,F,71.8,275500,fc,2026
Nicolás Dubersarsky,atx,M,74.7,377602,fc,2026
Oleksandr Svatok,atx,M,85.8,196666,fc,2026
Owen Wolff,atx,M,78.0,304535,fc,2026
Riley Thomas,atx,D,82.2,308642,fc,2026
Robert Taylor,atx,F,72.5,237823,fc,2026
Zan Kolmanic,atx,D,83.5,259805,fc,2026
Assane Dioussé,aux,M,69.0,214305,fc,2026
Clément Akpa,aux,D,74.0,344520,fc,2026
Donovan Léon,aux,G,76.0,164165,fc,2026
Elisha Owusu,aux,M,73.0,266057,fc,2026
Francisco Sierralta,aux,D,70.0,218620,fc,2026
Fredrik Oppegard,aux,D,67.0,310134,fc,2026
Gideon Mensah,aux,D,74.0,264484,fc,2026
Josué Casimir,aux,F,71.0,304212,fc,2026
Kévin Danois,aux,M,74.0,323722,fc,2026
Lamine Sy,aux,D,66.0,335320,fc,2026
Lassine Sinayoko,aux,F,74.0,271137,fc,2026
Lasso Coulibaly,aux,M,68.0,323175,fc,2026
Marvin Senaya,aux,D,69.0,309638,fc,2026
Sinaly Diomande,aux,D,73.0,302862,fc,2026
Telli Siwe,aux,D,57.0,403125,fc,2026
Théo De Percin,aux,G,66.0,312151,fc,2026
Tom Negrel,aux,G,59.0,362059,fc,2026
Amadou Onana,avl,M,79.0,304799,fc,2026
Andrés García,avl,D,73.0,356080,fc,2026
Boubacar Kamara,avl,M,83.0,250936,fc,2026
Emiliano Buendía,avl,M,77.0,214375,fc,2026
Emiliano Martínez,avl,G,85.0,158626,fc,2026
Ezri Konsa,avl,D,82.0,231859,fc,2026
Ian Maatsen,avl,D,79.0,281125,fc,2026
John McGinn,avl,M,81.0,162843,fc,2026
Lamare Bogarde,avl,M,71.0,310607,fc,2026
Lucas Digne,avl,D,80.0,160115,fc,2026
Marco Bizot,avl,G,78.0,132233,fc,2026
Matty Cash,avl,D,79.0,234698,fc,2026
Morgan Rogers,avl,F,82.0,265653,fc,2026
Ollie Watkins,avl,F,84.0,198825,fc,2026
Pau Torres,avl,D,80.0,251100,fc,2026
Ross Barkley,avl,M,77.0,152469,fc,2026
Tyrone Mings,avl,D,78.0,181312,fc,2026
Youri Tielemans,avl,M,85.0,193297,fc,2026
Aleix García,b04,M,83.0,219294,fc,2026
Arthur,b04,D,71.0,334374,fc,2026
Axel Tape,b04,D,65.0,396655,fc,2026
Christian Kofane,b04,F,68.0,398709,fc,2026
Edmond Tapsoba,b04,D,81.0,257287,fc,2026
Eliesse Ben Seghir,b04,F,76.0,346947,fc,2026
Ernest Poku,b04,F,70.0,318534,fc,2026
Exequiel Palacios,b04,M,84.0,228393,fc,2026
Ezequiel Fernández,b04,M,75.0,364080,fc,2026
Ibrahim Maza,b04,M,71.0,361212,fc,2026
Janis Blaswich,b04,G,73.0,161825,fc,2026
Jarell Quansah,b04,D,75.0,298524,fc,2026
Jeremiah Mensah,b04,M,61.0,403899,fc,2026
Jonas Hofmann,b04,M,78.0,174617,fc,2026
Loïc Badé,b04,D,78.0,300410,fc,2026
Malik Tillman,b04,M,82.0,301416,fc,2026
Mark Flekken,b04,G,78.0,177821,fc,2026
Martin Terrier,b04,F,79.0,241662,fc,2026
Nathan Tella,b04,F,78.0,263134,fc,2026
Niklas Lomb,b04,G,66.0,175069,fc,2026
Patrik Schick,b04,F,85.0,212330,fc,2026
Robert Andrich,b04,M,81.0,180998,fc,2026
Alejandro Balde,bar,D,80.9,323703,fc,2026
Andreas Christensen,bar,D,84.2,186430,fc,2026
Dani Olmo,bar,M,76.7,227765,fc,2026
Daniel Rodríguez,bar,F,67.9,363041,fc,2026
Diego Kochen,bar,G,87.3,368359,fc,2026
Eder Aller,bar,G,86.6,403587,fc,2026
Eric García,bar,D,85.5,128714,fc,2026
Fermín López,bar,M,74.1,354334,fc,2026
Ferran Torres,bar,F,74.4,265869,fc,2026
Frenkie de Jong,bar,M,87.0,219022,fc,2026
Gavi,bar,M,75.4,323702,fc,2026
Gerard Martín,bar,D,81.6,312015,fc,2026
Guille Fernández,bar,M,72.1,388286,fc,2026
Joan García,bar,G,87.9,297362,fc,2026
Jofre Torrents,bar,D,79.0,403588,fc,2026
João Cancelo,bar,D,84.8,176399,fc,2026
Juan Hernández,bar,M,73.4,371565,fc,2026
Jules Koundé,bar,D,87.0,231692,fc,2026
Lamine Yamal,bar,F,85.0,362150,fc,2026
Marc Bernal,bar,M,72.8,376423,fc,2026
Marc Casadó,bar,M,74.7,345489,fc,2026
Marcus Rashford,bar,F,71.2,230945,fc,2026
Pau Cubarsí,bar,D,80.3,368992,fc,2026
Pedri,bar,M,86.0,250465,fc,2026
Raphinha,bar,F,89.0,231050,fc,2026
Robert Lewandowski,bar,F,88.0,125824,fc,2026
Ronald Araújo,bar,D,82.9,270821,fc,2026
Roony Bardghji,bar,F,69.2,331152,fc,2026
Tomás Marqués,bar,M,71.5,403590,fc,2026
Toni Fernández,bar,F,67.3,388285,fc,2026
Wojciech Szczesny,bar,G,88.6,131634,fc,2026
Xavi Espart,bar,D,79.6,403582,fc,2026
Álvaro Cortés,bar,D,82.2,300377,fc,2026
Abde Ezzalzouli,bet,F,67.9,300912,fc,2026
Adrián,bet,G,88.6,134230,fc,2026
Aitor Ruibal,bet,F,69.2,268601,fc,2026
Antony,bet,F,71.8,281558,fc,2026
Carlos De Roa,bet,D,78.3,415495,fc,2026
Chimy Ávila,bet,F,69.9,217588,fc,2026
Cucho Hernández,bet,F,67.3,336809,fc,2026
Cédric Bakambu,bet,F,70.5,147193,fc,2026
Daniel Pérez,bet,M,70.8,353854,fc,2026
Darling Bladi,bet,D,79.6,377851,fc,2026
Diego Llorente,bet,D,82.9,181530,fc,2026
Germán García,bet,G,82.0,351801,fc,2026
Giovani Lo Celso,bet,M,74.7,207343,fc,2026
Héctor Bellerín,bet,D,83.5,178978,fc,2026
Isco,bet,M,76.0,143564,fc,2026
Iván Corralejo,bet,M,70.2,371605,fc,2026
José Morante,bet,F,66.0,411284,fc,2026
Junior Firpo,bet,D,82.2,269655,fc,2026
Manu González,bet,G,70.5,390091,fc,2026
Marc Bartra,bet,D,84.2,145078,fc,2026
Marc Roca,bet,M,73.4,242008,fc,2026
Natan,bet,D,81.6,301526,fc,2026
Nelson Deossa,bet,M,72.1,322908,fc,2026
Pablo Busto,bet,D,80.3,371692,fc,2026
Pablo Fornals,bet,M,74.1,227714,fc,2026
Pablo García,bet,F,66.6,399278,fc,2026
Pau López,bet,G,87.9,203061,fc,2026
Ricardo Rodríguez,bet,D,84.8,136865,fc,2026
Rodrigo Marina,bet,F,65.3,418014,fc,2026
Rodrigo Riquelme,bet,M,76.7,70224,fc,2026
Sergi Altimira,bet,M,71.5,331426,fc,2026
Sofyan Amrabat,bet,M,75.4,195226,fc,2026
Valentín Gómez,bet,D,80.9,336480,fc,2026
Álvaro Fidalgo,bet,M,72.8,283827,fc,2026
Álvaro Valles,bet,G,87.3,283892,fc,2026
Ángel Ortiz,bet,D,79.0,395941,fc,2026
Bart Verbruggen,bha,G,78.0,291609,fc,2026
Carlos Baleba,bha,M,81.0,338814,fc,2026
Charalambos Kostoulas,bha,F,72.0,387655,fc,2026
Danny Welbeck,bha,F,78.0,115271,fc,2026
Diego Gómez,bha,M,73.0,192278,fc,2026
Ferdi Kadioglu,bha,D,79.0,238318,fc,2026
Georginio Rutter,bha,F,77.0,278061,fc,2026
Jack Hinshelwood,bha,M,75.0,328011,fc,2026
Jason Steele,bha,G,73.0,111114,fc,2026
Joël Veltman,bha,D,78.0,170597,fc,2026
Kaoru Mitoma,bha,M,82.0,274278,fc,2026
Lewis Dunk,bha,D,77.0,147106,fc,2026
Mats Wieffer,bha,M,78.0,282186,fc,2026
Maxim De Cuyper,bha,D,80.0,301327,fc,2026
Olivier Boscagli,bha,D,79.0,216017,fc,2026
Stefanos Tzimas,bha,F,72.0,357165,fc,2026
Tom McGill,bha,G,62.0,248761,fc,2026
Yankuba Minteh,bha,F,77.0,348787,fc,2026
Yasin Ayari,bha,M,75.0,304242,fc,2026
Alejo Sarco,bmg,F,64.0,371484,fc,2026
Fabio Chiarodia,bmg,D,68.0,323061,fc,2026
Florian Neuhaus,bmg,M,75.0,238527,fc,2026
Franck Honorat,bmg,M,80.0,196029,fc,2026
Giovanni Reyna,bmg,M,75.0,290230,fc,2026
Haris Tabakovic,bmg,F,73.0,184869,fc,2026
Hugo Bolin,bmg,M,70.0,330239,fc,2026
Jan Olschowsky,bmg,G,68.0,304631,fc,2026
Jens Castrop,bmg,M,70.0,304793,fc,2026
Joe Scally,bmg,D,74.0,272135,fc,2026
Kevin Diks,bmg,D,74.0,206863,fc,2026
Kevin Stöger,bmg,M,76.0,175006,fc,2026
Kota Takai,bmg,D,72.0,328492,fc,2026
Lukas Ullrich,bmg,D,74.0,346617,fc,2026
Marvin Friedrich,bmg,D,74.0,202642,fc,2026
Moritz Nicolas,bmg,G,75.0,238536,fc,2026
Nathan N'Goumou,bmg,M,72.0,282676,fc,2026
Nico Elvedi,bmg,D,77.0,212237,fc,2026
Niklas Swider,bmg,M,60.0,397566,fc,2026
Philipp Sander,bmg,M,75.0,275805,fc,2026
Robin Hack,bmg,M,77.0,258876,fc,2026
Rocco Reitz,bmg,M,77.0,307364,fc,2026
Shuto Machino,bmg,F,75.0,271352,fc,2026
Tim Kleindienst,bmg,F,81.0,185906,fc,2026
Tobias Sippel,bmg,G,66.0,122273,fc,2026
Yannick Engelhardt,bmg,M,70.0,337079,fc,2026
Anders Klynge,bodo,M,68.0,303934,fc,2026
Andreas Helmersen,bodo,F,66.0,218561,fc,2026
Daniel Bassi,bodo,F,62.0,340237,fc,2026
Fredrik André Bjørkan,bodo,D,74.0,238088,fc,2026
Fredrik Sjøvold,bodo,D,69.0,333755,fc,2026
Haitam Aleesami,bodo,D,68.0,176883,fc,2026
Hakon Evjen,bodo,M,73.0,271088,fc,2026
Isak Dybvik Määttä,bodo,D,67.0,302019,fc,2026
Isak Sjong,bodo,G,56.0,359286,fc,2026
Jens Petter Hauge,bodo,M,74.0,235789,fc,2026
Jostein Gundersen,bodo,D,71.0,218466,fc,2026
Julian Faye Lund,bodo,G,66.0,227625,fc,2026
Kasper Høgh,bodo,F,69.0,272624,fc,2026
Magnus Riisnaes,bodo,M,65.0,319066,fc,2026
Nikita Haykin,bodo,G,74.0,217655,fc,2026
Odin Bjørtuft,bodo,D,70.0,269732,fc,2026
Ola Brynhildsen,bodo,F,70.0,255311,fc,2026
Ole Didrik Blomberg,bodo,M,69.0,307798,fc,2026
Patrick Berg,bodo,M,77.0,205924,fc,2026
Sondre Auklend,bodo,M,66.0,303740,fc,2026
Sondre Brunstad Fet,bodo,M,70.0,208353,fc,2026
Ulrik Saltnes,bodo,M,72.0,203670,fc,2026
Villads Nielsen,bodo,D,66.0,387380,fc,2026
Adam Smith,bou,D,73.0,122268,fc,2026
Adrien Truffert,bou,D,77.0,305684,fc,2026
Alex Scott,bou,M,74.0,314790,fc,2026
Amine Adli,bou,F,78.0,291613,fc,2026
Bafodé Diakité,bou,D,79.0,282675,fc,2026
Ben Gannon-Doak,bou,F,71.0,332948,fc,2026
David Brooks,bou,M,75.0,72487,fc,2026
Enes Ünal,bou,F,77.0,218122,fc,2026
Evanilson,bou,F,80.0,102368,fc,2026
James Hill,bou,D,71.0,279155,fc,2026
Julio Soler,bou,D,68.0,339797,fc,2026
Junior Kroupi,bou,F,74.0,361809,fc,2026
Justin Kluivert,bou,F,79.0,245916,fc,2026
Lewis Cook,bou,M,79.0,223452,fc,2026
Marcus Tavernier,bou,M,76.0,243364,fc,2026
Matai Akinmboni,bou,D,55.0,337023,fc,2026
Owen Bevan,bou,D,62.0,348298,fc,2026
Ryan Christie,bou,M,79.0,93435,fc,2026
Tyler Adams,bou,M,79.0,222776,fc,2026
Álex Jiménez,bou,D,71.0,367861,fc,2026
Serigne Diop,bre,F,57.0,390657,fc,2026
Alejandro Granados,bru,M,64.0,363216,fc,2026
Aleksandar Stankovic,bru,M,66.0,240109,fc,2026
Bjorn Meijer,bru,D,73.0,304618,fc,2026
Brandon Mechele,bru,D,76.0,191222,fc,2026
Carlos Forbs,bru,F,70.0,78836,fc,2026
Christos Tzolis,bru,F,80.0,303793,fc,2026
Cisse Sandra,bru,M,65.0,312758,fc,2026
Dani van den Heuvel,bru,G,60.0,305931,fc,2026
Gustaf Nilsson,bru,F,75.0,238183,fc,2026
Hans Vanaken,bru,M,80.0,193849,fc,2026
Hugo Siquet,bru,D,70.0,310023,fc,2026
Hugo Vetlesen,bru,M,72.0,255261,fc,2026
Joaquin Seys,bru,D,72.0,363068,fc,2026
Joel Ordóñez,bru,D,75.0,336589,fc,2026
Jorne Spileers,bru,D,69.0,351301,fc,2026
Kyriani Sabbe,bru,D,70.0,351373,fc,2026
Ludovit Reis,bru,M,73.0,261363,fc,2026
Lynnt Audoor,bru,M,66.0,329449,fc,2026
Mamadou Diakhon,bru,F,66.0,362875,fc,2026
Nicolo Tresoldi,bru,F,69.0,335201,fc,2026
Nordin Jackers,bru,G,68.0,202101,fc,2026
Raphael Onyedika,bru,M,77.0,320882,fc,2026
Romeo Vermant,bru,F,71.0,360422,fc,2026
Shandre Campbell,bru,F,65.0,366835,fc,2026
Simon Mignolet,bru,G,74.0,99829,fc,2026
Vince Osuji,bru,D,65.0,386578,fc,2026
Andrei Radu,cel,G,87.9,144720,fc,2026
Andrés Antañón,cel,M,70.8,414292,fc,2026
Borja Iglesias,cel,F,69.2,214995,fc,2026
Carl Starfelt,cel,D,84.8,195790,fc,2026
Carlos Domínguez,cel,D,81.6,312376,fc,2026
Fernando López,cel,M,71.5,395625,fc,2026
Ferran Jutglà,cel,F,68.6,279904,fc,2026
Franco Cervi,cel,M,74.7,204014,fc,2026
Hugo Burcio,cel,M,70.2,414293,fc,2026
Hugo Gonzalez,cel,F,67.9,324811,fc,2026
Hugo Sotelo,cel,M,73.4,319114,fc,2026
Hugo Álvarez,cel,M,75.4,188391,fc,2026
Iago Aspas,cel,F,70.5,92800,fc,2026
Ilaix Moriba,cel,M,74.1,297829,fc,2026
Iván Villar,cel,G,87.3,242580,fc,2026
Javi Rodríguez,cel,D,78.6,376147,fc,2026
Javi Rueda,cel,D,80.9,331586,fc,2026
Jones El-Abdellaoui,cel,F,67.3,334111,fc,2026
Joseph Aidoo,cel,D,84.2,219309,fc,2026
Manuel Fernández,cel,D,78.3,409477,fc,2026
Marc Vidal,cel,G,88.6,138674,fc,2026
Marcos Alonso,cel,D,85.5,146127,fc,2026
Marcos González,cel,G,70.5,376424,fc,2026
Matías Vecino,cel,M,76.0,145600,fc,2026
Miguel Román,cel,M,72.1,353736,fc,2026
Mihailo Ristic,cel,D,83.5,221334,fc,2026
Pablo Durán,cel,F,69.9,138448,fc,2026
Pablo Meixús,cel,D,77.7,414291,fc,2026
Sergio Carreira,cel,D,82.2,298343,fc,2026
Williot Swedberg,cel,M,72.8,322652,fc,2026
Yoel Lago,cel,D,79.0,384643,fc,2026
Álvaro Núñez,cel,D,80.3,367430,fc,2026
Ángel Arcos,cel,F,66.0,415036,fc,2026
Óscar Marcos,cel,F,66.6,405521,fc,2026
Óscar Mingueza,cel,D,82.9,276546,fc,2026
Alejandro Garnacho,che,F,77.0,325555,fc,2026
Andrey Santos,che,M,80.0,314858,fc,2026
Benoît Badiashile,che,D,76.0,282585,fc,2026
Cole Palmer,che,M,87.0,296395,fc,2026
Dário Essugo,che,M,75.0,316560,fc,2026
Enzo Fernández,che,M,84.0,285450,fc,2026
Estêvão,che,F,78.0,376481,fc,2026
Filip Jørgensen,che,G,77.0,304256,fc,2026
Gaga Slonina,che,G,68.0,286774,fc,2026
Jamie Gittens,che,F,78.0,339879,fc,2026
Jorrel Hato,che,D,78.0,353951,fc,2026
Josh Acheampong,che,D,70.0,368317,fc,2026
João Pedro,che,F,79.0,284960,fc,2026
Levi Colwill,che,D,80.0,296410,fc,2026
